"Session Start","Length","Site","Game","Stake","Table","Hands","My C Won","Raise First","PF Squeeze","Limp/Raise","Limp/Call","PF AFq","CC 2Bet PF","Call Steal","3Bet PF","3Bet Steal","2Bet T","Call T 2Bet","CBet T","Donk T","2Bet R","Call R CBet","CBet R","Donk R","Probe R","River AFq","Turn AFq"
"2023/10/07  7:43 pm","1:35","Ignition","Holdem","$0.05 NL (6 max)","30611535","93","-$6.00","36.59","22.22","-","-","22.83","20.00","0.00","8.70","0.00","0.00","100.00","100.00","0.00","0.00","-","100.00","0.00","-","62.50","50.00"
"2023/10/07  7:39 pm","1:40","Ignition","Holdem","$0.05 NL (6 max)","30614002","111","$4.30","25.86","0.00","-","-","22.64","0.00","14.29","13.79","14.29","0.00","-","100.00","0.00","40.00","-","0.00","0.00","-","55.56","33.33"
"2023/10/06  2:33 pm","0:11","Ignition","Holdem","$0.05 NL (6 max)","30605424","14","-$0.24","16.67","0.00","-","-","7.69","0.00","0.00","0.00","0.00","-","-","-","-","-","-","-","-","-","-","-"
"2023/10/06  2:01 pm","0:42","Ignition","Holdem","$0.05 NL (6 max)","30604904","57","-$1.73","30.00","0.00","-","-","21.43","14.29","11.11","15.79","33.33","0.00","-","0.00","0.00","50.00","-","-","-","-","66.67","0.00"
"2023/10/06  2:00 pm","0:45","Ignition","Holdem","$0.05 NL (6 max)","30605309","38","$4.70","25.00","0.00","-","-","29.41","0.00","-","0.00","-","0.00","-","50.00","-","100.00","-","-","-","-","100.00","60.00"
"2023/10/05  9:46 pm","0:31","Ignition","Holdem","$0.05 NL (6 max)","30600192","31","-$0.93","42.86","0.00","-","-","26.67","0.00","33.33","0.00","0.00","0.00","-","0.00","-","-","-","-","-","-","100.00","50.00"
"2023/10/05  9:34 pm","0:43","Ignition","Holdem","$0.05 NL (6 max)","30599148","53","$0.86","32.00","0.00","-","-","17.65","0.00","0.00","0.00","0.00","0.00","-","100.00","33.33","0.00","-","0.00","0.00","-","50.00","50.00"
"2023/10/05  9:30 pm","0:01","Ignition","Holdem","$0.05 NL (6 max)","30599924","1","-$0.20","-","0.00","-","-","0.00","-","-","0.00","-","-","-","-","-","-","-","-","-","-","-","-"
"2023/10/05  9:29 pm","0:48","Ignition","Holdem","$0.05 NL (6 max)","30599530","49","$16.35","6.67","0.00","-","-","16.67","0.00","0.00","19.05","14.29","0.00","-","50.00","0.00","0.00","-","-","50.00","-","66.67","40.00"
"2023/10/05 12:27 pm","0:35","Ignition","Holdem","$0.05 NL (6 max)","30596013","41","-$2.44","36.00","0.00","-","-","21.95","33.33","0.00","0.00","0.00","0.00","-","0.00","-","0.00","-","-","0.00","-","0.00","33.33"
