"Hand #","Marked","Site","Date","Stake","My C Won","Final Hand","Hole Cards","PF Act","Flop","F Act","Turn","T Act","River","R Act","Winner","Winning Hand","Pot","Rake","Position","Hand"
"4539181000","","Ignition","2023/10/10  9:26 pm","$0.05 NL (6 max)","-$0.02","(folded preflop)","5030000","F","61214","","6","","8","","P2-0108acce85a76c2f7e11448aa2fd1b81","Two Pair, Sixes and Twos","$1.28","$0.06","SB","53s"
"4539180455","","Ignition","2023/10/10  9:25 pm","$0.05 NL (6 max)","-$0.05","(folded preflop)","13030000","F","70712","","0","","0","","P5-fe621d1294e254786e7707de9be7bf71","(did not show hand)","$0.35","$0.01","BB","K3o"
"4539180436","","Ignition","2023/10/10  9:25 pm","$0.05 NL (6 max)","$0.00","(folded preflop)","12040000","F","20909","","4","","5","","P3-931a15e7b1e82b0f51ad4bae2d7080f9","(did not show hand)","$0.64","$0.03","MP","Q4o"
"4539180172","","Ignition","2023/10/10  9:24 pm","$0.05 NL (6 max)","$0.00","(folded preflop)","4030000","F","0","","0","","0","","P6-e9ec2aa677dfcd8ed48ebd10d9e743bc","(did not show hand)","$0.04","$0.00","MP","43o"
"4539179642","","Ignition","2023/10/10  9:23 pm","$0.05 NL (6 max)","$0.38","Two Pair, Nines and Eights","8080000","R","90907","B","11","X","13","C","Hero","Two Pair, Nines and Eights","$0.77","$0.03","CO","88"
"4539179443","","Ignition","2023/10/10  9:23 pm","$0.05 NL (6 max)","$0.00","(folded preflop)","13020000","F","0","","0","","0","","P3-eb5ea5861cb98885cf9b69fdc0df3922","(did not show hand)","$0.10","$0.00","BTN","K2s"
"4539179428","","Ignition","2023/10/10  9:23 pm","$0.05 NL (6 max)","-$0.45","(folded turn)","7070000","RC","100204","X","13","F","0","","P2-7a86de1bbdd5cba9f2ecbf4195091f37","(did not show hand)","$1.35","$0.06","CO","77"
"4539178949","","Ignition","2023/10/10  9:22 pm","$0.05 NL (6 max)","-$0.15","(folded flop)","6030000","R","90512","CF","4","","4","","P3-eb5ea5861cb98885cf9b69fdc0df3922","Two Pair, Queens and Fours","$2.65","$0.13","BTN","63s"
"4539178494","","Ignition","2023/10/10  9:21 pm","$0.05 NL (6 max)","-$0.02","(folded preflop)","10080000","F","120412","","0","","0","","P6-e9ec2aa677dfcd8ed48ebd10d9e743bc","(did not show hand)","$0.78","$0.03","SB","T8s"
"4539178468","","Ignition","2023/10/10  9:21 pm","$0.05 NL (6 max)","$0.00","(folded preflop)","12100000","F","140603","","11","","0","","P2-7a86de1bbdd5cba9f2ecbf4195091f37","(did not show hand)","$0.62","$0.03","BTN","QTo"
"4539178136","","Ignition","2023/10/10  9:20 pm","$0.05 NL (6 max)","-$0.02","(folded preflop)","10050000","F","0","","0","","0","","P4-6602d83bd7483fd93753758b80f4538b","(did not show hand)","$0.37","$0.00","SB","T5o"
"4539177747","","Ignition","2023/10/10  9:20 pm","$0.05 NL (6 max)","-$0.05","(folded preflop)","13050000","F","0","","0","","0","","P6-04ac607e0db371fbf08011ef2d9782bd","(did not show hand)","$0.12","$0.00","BB","K5o"
