"Hand #","Marked","Site","Date","Stake","My C Won","Final Hand","Hole Cards","PF Act","Flop","F Act","Turn","T Act","River","R Act","Winner","Winning Hand","Pot","Rake","Position","Hand"
"4539171994","","Ignition","2023/10/10  9:09 pm","$0.05 NL (6 max)","$0.00","(folded preflop)","7040000","F","120914","","9","","2","","P6-e9ec2aa677dfcd8ed48ebd10d9e743bc","(did not show hand)","$3.15","$0.15","CO","74o"
"4539171625","","Ignition","2023/10/10  9:08 pm","$0.05 NL (6 max)","$0.00","(folded preflop)","13070000","F","0","","0","","0","","P2-61abaf8ff80674586cb0447e1af49550","(did not show hand)","$0.10","$0.00","BTN","K7o"
"4539171459","","Ignition","2023/10/10  9:07 pm","$0.05 NL (6 max)","-$0.02","(folded preflop)","9040000","F","120205","","10","","2","","P3-931a15e7b1e82b0f51ad4bae2d7080f9","Two Pair, Queens and Twos","$1.40","$0.07","SB","94o"
"4539171272","","Ignition","2023/10/10  9:07 pm","$0.05 NL (6 max)","-$0.15","(folded flop)","11090000","R","130303","XF","0","","0","","P2-61abaf8ff80674586cb0447e1af49550","(did not show hand)","$0.30","$0.01","SB","J9o"
"4539170929","","Ignition","2023/10/10  9:06 pm","$0.05 NL (6 max)","-$0.05","(folded preflop)","5020000","F","120306","","4","","0","","P4-feb789b63abbf802966c9fb0de7fe2d6","(did not show hand)","$1.61","$0.08","BB","52o"
"4539170913","","Ignition","2023/10/10  9:06 pm","$0.05 NL (6 max)","$0.02","(did not show hand)","13040000","","0","","0","","0","","Hero","(did not show hand)","$0.04","$0.00","BB","K4o"
"4539170107","","Ignition","2023/10/10  9:05 pm","$0.05 NL (6 max)","$0.42","(did not show hand)","14030000","RR","0","","0","","0","","Hero","(did not show hand)","$0.77","$0.00","MP","A3s"
"4539170022","","Ignition","2023/10/10  9:05 pm","$0.05 NL (6 max)","$0.00","(folded preflop)","5040000","F","51211","","13","","10","","[Split Pot]","Straight, Ace High","$7.83","$0.39","EP","54o"
"4539169367","","Ignition","2023/10/10  9:04 pm","$0.05 NL (6 max)","$0.00","(folded preflop)","6050000","F","120408","","10","","6","","P3-931a15e7b1e82b0f51ad4bae2d7080f9","One Pair, Eights","$0.30","$0.01","CO","65o"
"4539169016","","Ignition","2023/10/10  9:03 pm","$0.05 NL (6 max)","-$0.25","Two Pair, Sixes and Fives","9060000","R","40605","B","5","X","10","C","P4-16644d1ee41990e9a5d55a1f82a07b4e","Two Pair, Tens and Fives","$0.60","$0.03","MP","96s"
"4539168817","","Ignition","2023/10/10  9:03 pm","$0.05 NL (6 max)","$0.00","(folded preflop)","13080000","F","60605","","0","","0","","P4-feb789b63abbf802966c9fb0de7fe2d6","(did not show hand)","$0.12","$0.00","BTN","K8o"
"4539168690","","Ignition","2023/10/10  9:02 pm","$0.05 NL (6 max)","$0.00","(folded preflop)","11020000","F","0","","0","","0","","P4-16644d1ee41990e9a5d55a1f82a07b4e","(did not show hand)","$0.04","$0.00","CO","J2o"
"4539168289","","Ignition","2023/10/10  9:02 pm","$0.05 NL (6 max)","-$0.02","(folded preflop)","8050000","F","80513","","13","","7","","P1-02c88fd620e256a631332c870258adc4","(did not show hand)","$0.82","$0.04","SB","85o"
"4539168088","","Ignition","2023/10/10  9:01 pm","$0.05 NL (6 max)","$0.00","(folded preflop)","5030000","F","50604","","3","","3","","P2-61abaf8ff80674586cb0447e1af49550","One Pair, Threes","$0.70","$0.03","BTN","53o"
"4539167845","","Ignition","2023/10/10  9:01 pm","$0.05 NL (6 max)","-$0.02","(folded preflop)","9060000","F","0","","0","","0","","P6-e9ec2aa677dfcd8ed48ebd10d9e743bc","(did not show hand)","$0.12","$0.00","SB","96o"
"4539167486","","Ignition","2023/10/10  9:00 pm","$0.05 NL (6 max)","-$0.05","(folded preflop)","10090000","F","0","","0","","0","","P6-e9ec2aa677dfcd8ed48ebd10d9e743bc","(did not show hand)","$0.35","$0.00","BB","T9o"
"4539167341","","Ignition","2023/10/10  9:00 pm","$0.05 NL (6 max)","-$0.40","One Pair, Kings","14120000","C","91304","X","6","XC","13","X","P1-02c88fd620e256a631332c870258adc4","Two Pair, Kings and Fours","$0.97","$0.04","BB","AQo"
"4539166834","","Ignition","2023/10/10  8:59 pm","$0.05 NL (6 max)","$0.00","(folded preflop)","11020000","F","131202","","14","","0","","P6-04ac607e0db371fbf08011ef2d9782bd","(did not show hand)","$0.31","$0.01","EP","J2s"
"4539166691","","Ignition","2023/10/10  8:59 pm","$0.05 NL (6 max)","-$0.47","Two Pair, Queens and Nines","12120000","R","90911","B","13","B","2","X","P5-d8526de69c0f08bbf49c38ecc4ddc0b3","Three of a Kind, Nines","$1.09","$0.05","MP","QQ"
"4539166561","","Ignition","2023/10/10  8:58 pm","$0.05 NL (6 max)","$0.00","(folded preflop)","14020000","F","0","","0","","0","","P1-02c88fd620e256a631332c870258adc4","(did not show hand)","$0.12","$0.00","MP","A2o"
"4539166080","","Ignition","2023/10/10  8:58 pm","$0.05 NL (6 max)","$0.00","(folded preflop)","9080000","F","50907","","10","","11","","[Split Pot]","High Card, Ace","$1.91","$0.09","CO","98o"
"4539165916","","Ignition","2023/10/10  8:57 pm","$0.05 NL (6 max)","$0.00","(folded preflop)","7020000","F","120603","","14","","6","","P3-eb5ea5861cb98885cf9b69fdc0df3922","Two Pair, Aces and Queens","$2.91","$0.14","CO","72o"
"4539165593","","Ignition","2023/10/10  8:57 pm","$0.05 NL (6 max)","$0.00","(folded preflop)","14080000","F","140411","","5","","0","","P3-931a15e7b1e82b0f51ad4bae2d7080f9","(did not show hand)","$0.12","$0.00","BTN","A8o"
"4539165587","","Ignition","2023/10/10  8:57 pm","$0.05 NL (6 max)","$0.00","(folded preflop)","14040000","F","141305","","2","","3","","P4-16644d1ee41990e9a5d55a1f82a07b4e","One Pair, Kings","$0.72","$0.03","CO","A4o"
"4539165400","","Ignition","2023/10/10  8:56 pm","$0.05 NL (6 max)","$0.00","(folded preflop)","4030000","F","0","","0","","0","","P6-e9ec2aa677dfcd8ed48ebd10d9e743bc","(did not show hand)","$0.12","$0.00","BTN","43o"
"4539165384","","Ignition","2023/10/10  8:56 pm","$0.05 NL (6 max)","-$0.02","(folded preflop)","13060000","F","0","","0","","0","","P1-02c88fd620e256a631332c870258adc4","(did not show hand)","$0.12","$0.00","SB","K6o"
"4539165204","","Ignition","2023/10/10  8:56 pm","$0.05 NL (6 max)","-$0.02","(folded preflop)","10040000","F","0","","0","","0","","P2-25a4e14972e0222fc7dbe3bc4987d33d","(did not show hand)","$0.04","$0.00","SB","T4o"
"4539164890","","Ignition","2023/10/10  8:55 pm","$0.05 NL (6 max)","-$0.05","(folded preflop)","12030000","F","61013","","2","","0","","P1-02c88fd620e256a631332c870258adc4","(did not show hand)","$0.37","$0.01","BB","Q3o"
"4539164690","","Ignition","2023/10/10  8:55 pm","$0.05 NL (6 max)","$0.00","(folded preflop)","11030000","F","0","","0","","0","","P1-02c88fd620e256a631332c870258adc4","(did not show hand)","$0.12","$0.00","MP","J3o"
"4539164563","","Ignition","2023/10/10  8:55 pm","$0.05 NL (6 max)","$0.30","Straight, Ten High","12060000","X","70810","X","9","B","9","B","Hero","Straight, Ten High","$0.64","$0.03","BB","Q6s"
"4539164388","","Ignition","2023/10/10  8:55 pm","$0.05 NL (6 max)","$0.00","(folded preflop)","12080000","F","0","","0","","0","","P2-7a86de1bbdd5cba9f2ecbf4195091f37","(did not show hand)","$0.10","$0.00","CO","Q8o"
"4539164162","","Ignition","2023/10/10  8:54 pm","$0.05 NL (6 max)","$0.00","(folded preflop)","10020000","F","81404","","6","","12","","P5-d8526de69c0f08bbf49c38ecc4ddc0b3","Three of a Kind, Fours","$2.65","$0.13","MP","T2o"
